ID,Colour
1,n/a
2,Black
3,Black (plus)
4,Blonde
5,Blue
6,Blue (plus)
7,Brown
8,Brown (plus)
9,Coral
10,Cream
11,Cyan
12,Dark
13,Dark Blue
14,Dark Brown
15,Dark Green
16,Dark Purple
17,Gray
18,Gray (plus)
19,Green
20,Honeydew (plus)
21,Lavender
22,Light Blue
23,Light Blue (plus)
24,Light Brown
25,Light Gray
26,Light Green
27,Light Magenta
28,Light Orange
29,Light Pink
30,Light Purple
31,Light Purple (plus)
32,Light Yellow
33,Lime
34,Magenta
35,Mint
36,Mismatched
37,Orange
38,Orange (plus)
39,Pale Aqua
40,Pale Green
41,Pale Magenta
42,Pale Orange
43,Pale Yellow
44,Pastel Rainbow
45,Pink
46,Pink (plus)
47,Purple
48,Rainbow
49,Red
50,Red (plus)
51,Tan
52,White
53,White (plus)
54,White Striped
55,Yellow
56,Yellow (plus)
